"烏丸線","京都駅","国際会館方面"
[平日],,
05:27,"各駅","国際会館"
05:39,"各駅","国際会館"
05:58,"各駅","国際会館"
06:11,"各駅","国際会館"
06:20,"各駅","国際会館"
06:29,"各駅","国際会館"
06:38,"各駅","国際会館"
06:45,"各駅","国際会館"
06:53,"各駅","国際会館"
07:00,"各駅","国際会館"
07:06,"各駅","国際会館"
07:12,"各駅","国際会館"
07:17,"各駅","国際会館"
07:22,"各駅","国際会館"
07:27,"各駅","国際会館"
07:31,"各駅","国際会館"
07:36,"各駅","国際会館"
07:40,"各駅","国際会館"
07:45,"各駅","国際会館"
07:50,"各駅","国際会館"
07:54,"各駅","国際会館"
07:58,"各駅","国際会館"
08:03,"各駅","国際会館"
08:06,"各駅","国際会館"
08:10,"各駅","国際会館"
08:14,"各駅","国際会館"
08:17,"各駅","国際会館"
08:21,"各駅","国際会館"
08:25,"各駅","国際会館"
08:29,"各駅","国際会館"
08:33,"各駅","国際会館"
08:37,"各駅","国際会館"
08:42,"各駅","国際会館"
08:46,"各駅","国際会館"
08:51,"各駅","国際会館"
08:55,"各駅","国際会館"
08:59,"各駅","国際会館"
09:04,"各駅","国際会館"
09:08,"各駅","国際会館"
09:12,"各駅","国際会館"
09:16,"各駅","国際会館"
09:20,"各駅","国際会館"
09:25,"各駅","国際会館"
09:30,"各駅","国際会館"
09:35,"各駅","国際会館"
09:40,"各駅","国際会館"
09:46,"各駅","国際会館"
09:52,"各駅","国際会館"
09:58,"各駅","国際会館"
10:04,"各駅","国際会館"
10:08,"各駅","国際会館"
10:13,"各駅","国際会館"
10:17,"各駅","国際会館"
10:22,"各駅","国際会館"
10:28,"各駅","国際会館"
10:35,"各駅","国際会館"
10:43,"各駅","国際会館"
10:50,"各駅","国際会館"
10:58,"各駅","国際会館"
11:05,"各駅","国際会館"
11:13,"各駅","国際会館"
11:20,"各駅","国際会館"
11:28,"各駅","国際会館"
11:35,"各駅","国際会館"
11:43,"各駅","国際会館"
11:50,"各駅","国際会館"
11:58,"各駅","国際会館"
12:05,"各駅","国際会館"
12:13,"各駅","国際会館"
12:20,"各駅","国際会館"
12:28,"各駅","国際会館"
12:35,"各駅","国際会館"
12:43,"各駅","国際会館"
12:50,"各駅","国際会館"
12:58,"各駅","国際会館"
13:05,"各駅","国際会館"
13:13,"各駅","国際会館"
13:20,"各駅","国際会館"
13:28,"各駅","国際会館"
13:35,"各駅","国際会館"
13:43,"各駅","国際会館"
13:50,"各駅","国際会館"
13:58,"各駅","国際会館"
14:05,"各駅","国際会館"
14:13,"各駅","国際会館"
14:20,"各駅","国際会館"
14:28,"各駅","国際会館"
14:35,"各駅","国際会館"
14:43,"各駅","国際会館"
14:50,"各駅","国際会館"
14:58,"各駅","国際会館"
15:05,"各駅","国際会館"
15:12,"各駅","国際会館"
15:18,"各駅","国際会館"
15:24,"各駅","国際会館"
15:30,"各駅","国際会館"
15:36,"各駅","国際会館"
15:42,"各駅","国際会館"
15:48,"各駅","国際会館"
15:53,"各駅","国際会館"
15:58,"各駅","国際会館"
16:03,"各駅","国際会館"
16:08,"各駅","国際会館"
16:13,"各駅","国際会館"
16:18,"各駅","国際会館"
16:23,"各駅","国際会館"
16:28,"各駅","国際会館"
16:33,"各駅","国際会館"
16:38,"各駅","国際会館"
16:43,"各駅","国際会館"
16:48,"各駅","国際会館"
16:53,"各駅","国際会館"
16:58,"各駅","国際会館"
17:03,"各駅","国際会館"
17:08,"各駅","国際会館"
17:13,"各駅","国際会館"
17:18,"各駅","国際会館"
17:23,"各駅","国際会館"
17:28,"各駅","国際会館"
17:33,"各駅","国際会館"
17:38,"各駅","国際会館"
17:43,"各駅","国際会館"
17:48,"各駅","国際会館"
17:53,"各駅","国際会館"
17:58,"各駅","国際会館"
18:03,"各駅","国際会館"
18:08,"各駅","国際会館"
18:13,"各駅","国際会館"
18:18,"各駅","国際会館"
18:23,"各駅","国際会館"
18:28,"各駅","国際会館"
18:33,"各駅","国際会館"
18:38,"各駅","国際会館"
18:44,"各駅","国際会館"
18:50,"各駅","国際会館"
18:56,"各駅","国際会館"
19:02,"各駅","国際会館"
19:09,"各駅","国際会館"
19:15,"各駅","国際会館"
19:23,"各駅","国際会館"
19:30,"各駅","国際会館"
19:38,"各駅","国際会館"
19:45,"各駅","国際会館"
19:53,"各駅","国際会館"
20:00,"各駅","国際会館"
20:08,"各駅","国際会館"
20:15,"各駅","国際会館"
20:23,"各駅","国際会館"
20:30,"各駅","国際会館"
20:38,"各駅","国際会館"
20:46,"各駅","国際会館"
20:56,"各駅","国際会館"
21:06,"各駅","国際会館"
21:16,"各駅","国際会館"
21:26,"各駅","国際会館"
21:36,"各駅","国際会館"
21:46,"各駅","国際会館"
21:56,"各駅","国際会館"
22:06,"各駅","国際会館"
22:16,"各駅","国際会館"
22:26,"各駅","国際会館"
22:36,"各駅","国際会館"
22:49,"各駅","国際会館"
23:02,"各駅","国際会館"
23:15,"各駅","国際会館"
23:29,"各駅","国際会館"
23:47,"各駅","国際会館"
24:17,"各駅","国際会館"
[土曜]
05:27,"各駅","国際会館"
05:39,"各駅","国際会館"
05:58,"各駅","国際会館"
06:11,"各駅","国際会館"
06:20,"各駅","国際会館"
06:29,"各駅","国際会館"
06:38,"各駅","国際会館"
06:45,"各駅","国際会館"
06:53,"各駅","国際会館"
07:00,"各駅","国際会館"
07:06,"各駅","国際会館"
07:12,"各駅","国際会館"
07:17,"各駅","国際会館"
07:22,"各駅","国際会館"
07:27,"各駅","国際会館"
07:31,"各駅","国際会館"
07:36,"各駅","国際会館"
07:40,"各駅","国際会館"
07:45,"各駅","国際会館"
07:50,"各駅","国際会館"
07:54,"各駅","国際会館"
07:58,"各駅","国際会館"
08:03,"各駅","国際会館"
08:06,"各駅","国際会館"
08:10,"各駅","国際会館"
08:14,"各駅","国際会館"
08:17,"各駅","国際会館"
08:21,"各駅","国際会館"
08:25,"各駅","国際会館"
08:29,"各駅","国際会館"
08:33,"各駅","国際会館"
08:37,"各駅","国際会館"
08:42,"各駅","国際会館"
08:46,"各駅","国際会館"
08:51,"各駅","国際会館"
08:55,"各駅","国際会館"
08:59,"各駅","国際会館"
09:04,"各駅","国際会館"
09:08,"各駅","国際会館"
09:12,"各駅","国際会館"
09:16,"各駅","国際会館"
09:20,"各駅","国際会館"
09:25,"各駅","国際会館"
09:30,"各駅","国際会館"
09:35,"各駅","国際会館"
09:40,"各駅","国際会館"
09:46,"各駅","国際会館"
09:52,"各駅","国際会館"
09:58,"各駅","国際会館"
10:04,"各駅","国際会館"
10:08,"各駅","国際会館"
10:13,"各駅","国際会館"
10:17,"各駅","国際会館"
10:22,"各駅","国際会館"
10:28,"各駅","国際会館"
10:35,"各駅","国際会館"
10:43,"各駅","国際会館"
10:50,"各駅","国際会館"
10:58,"各駅","国際会館"
11:05,"各駅","国際会館"
11:13,"各駅","国際会館"
11:20,"各駅","国際会館"
11:28,"各駅","国際会館"
11:35,"各駅","国際会館"
11:43,"各駅","国際会館"
11:50,"各駅","国際会館"
11:58,"各駅","国際会館"
12:05,"各駅","国際会館"
12:13,"各駅","国際会館"
12:20,"各駅","国際会館"
12:28,"各駅","国際会館"
12:35,"各駅","国際会館"
12:43,"各駅","国際会館"
12:50,"各駅","国際会館"
12:58,"各駅","国際会館"
13:05,"各駅","国際会館"
13:13,"各駅","国際会館"
13:20,"各駅","国際会館"
13:28,"各駅","国際会館"
13:35,"各駅","国際会館"
13:43,"各駅","国際会館"
13:50,"各駅","国際会館"
13:58,"各駅","国際会館"
14:05,"各駅","国際会館"
14:13,"各駅","国際会館"
14:20,"各駅","国際会館"
14:28,"各駅","国際会館"
14:35,"各駅","国際会館"
14:43,"各駅","国際会館"
14:50,"各駅","国際会館"
14:58,"各駅","国際会館"
15:05,"各駅","国際会館"
15:12,"各駅","国際会館"
15:18,"各駅","国際会館"
15:24,"各駅","国際会館"
15:30,"各駅","国際会館"
15:36,"各駅","国際会館"
15:42,"各駅","国際会館"
15:48,"各駅","国際会館"
15:53,"各駅","国際会館"
15:58,"各駅","国際会館"
16:03,"各駅","国際会館"
16:08,"各駅","国際会館"
16:13,"各駅","国際会館"
16:18,"各駅","国際会館"
16:23,"各駅","国際会館"
16:28,"各駅","国際会館"
16:33,"各駅","国際会館"
16:38,"各駅","国際会館"
16:43,"各駅","国際会館"
16:48,"各駅","国際会館"
16:53,"各駅","国際会館"
16:58,"各駅","国際会館"
17:03,"各駅","国際会館"
17:08,"各駅","国際会館"
17:13,"各駅","国際会館"
17:18,"各駅","国際会館"
17:23,"各駅","国際会館"
17:28,"各駅","国際会館"
17:33,"各駅","国際会館"
17:38,"各駅","国際会館"
17:43,"各駅","国際会館"
17:48,"各駅","国際会館"
17:53,"各駅","国際会館"
17:58,"各駅","国際会館"
18:03,"各駅","国際会館"
18:08,"各駅","国際会館"
18:13,"各駅","国際会館"
18:18,"各駅","国際会館"
18:23,"各駅","国際会館"
18:28,"各駅","国際会館"
18:33,"各駅","国際会館"
18:38,"各駅","国際会館"
18:44,"各駅","国際会館"
18:50,"各駅","国際会館"
18:56,"各駅","国際会館"
19:02,"各駅","国際会館"
19:09,"各駅","国際会館"
19:15,"各駅","国際会館"
19:23,"各駅","国際会館"
19:30,"各駅","国際会館"
19:38,"各駅","国際会館"
19:45,"各駅","国際会館"
19:53,"各駅","国際会館"
20:00,"各駅","国際会館"
20:08,"各駅","国際会館"
20:15,"各駅","国際会館"
20:23,"各駅","国際会館"
20:30,"各駅","国際会館"
20:38,"各駅","国際会館"
20:46,"各駅","国際会館"
20:56,"各駅","国際会館"
21:06,"各駅","国際会館"
21:16,"各駅","国際会館"
21:26,"各駅","国際会館"
21:36,"各駅","国際会館"
21:46,"各駅","国際会館"
21:56,"各駅","国際会館"
22:06,"各駅","国際会館"
22:16,"各駅","国際会館"
22:26,"各駅","国際会館"
22:36,"各駅","国際会館"
22:49,"各駅","国際会館"
23:02,"各駅","国際会館"
23:15,"各駅","国際会館"
23:29,"各駅","国際会館"
23:47,"各駅","国際会館"
24:17,"各駅","国際会館"
[日曜・祝日]
05:27,"各駅","国際会館"
05:39,"各駅","国際会館"
05:58,"各駅","国際会館"
06:11,"各駅","国際会館"
06:20,"各駅","国際会館"
06:29,"各駅","国際会館"
06:38,"各駅","国際会館"
06:45,"各駅","国際会館"
06:53,"各駅","国際会館"
07:00,"各駅","国際会館"
07:06,"各駅","国際会館"
07:12,"各駅","国際会館"
07:17,"各駅","国際会館"
07:22,"各駅","国際会館"
07:27,"各駅","国際会館"
07:31,"各駅","国際会館"
07:36,"各駅","国際会館"
07:40,"各駅","国際会館"
07:45,"各駅","国際会館"
07:50,"各駅","国際会館"
07:54,"各駅","国際会館"
07:58,"各駅","国際会館"
08:03,"各駅","国際会館"
08:06,"各駅","国際会館"
08:10,"各駅","国際会館"
08:14,"各駅","国際会館"
08:17,"各駅","国際会館"
08:21,"各駅","国際会館"
08:25,"各駅","国際会館"
08:29,"各駅","国際会館"
08:33,"各駅","国際会館"
08:37,"各駅","国際会館"
08:42,"各駅","国際会館"
08:46,"各駅","国際会館"
08:51,"各駅","国際会館"
08:55,"各駅","国際会館"
08:59,"各駅","国際会館"
09:04,"各駅","国際会館"
09:08,"各駅","国際会館"
09:12,"各駅","国際会館"
09:16,"各駅","国際会館"
09:20,"各駅","国際会館"
09:25,"各駅","国際会館"
09:30,"各駅","国際会館"
09:35,"各駅","国際会館"
09:40,"各駅","国際会館"
09:46,"各駅","国際会館"
09:52,"各駅","国際会館"
09:58,"各駅","国際会館"
10:04,"各駅","国際会館"
10:08,"各駅","国際会館"
10:13,"各駅","国際会館"
10:17,"各駅","国際会館"
10:22,"各駅","国際会館"
10:28,"各駅","国際会館"
10:35,"各駅","国際会館"
10:43,"各駅","国際会館"
10:50,"各駅","国際会館"
10:58,"各駅","国際会館"
11:05,"各駅","国際会館"
11:13,"各駅","国際会館"
11:20,"各駅","国際会館"
11:28,"各駅","国際会館"
11:35,"各駅","国際会館"
11:43,"各駅","国際会館"
11:50,"各駅","国際会館"
11:58,"各駅","国際会館"
12:05,"各駅","国際会館"
12:13,"各駅","国際会館"
12:20,"各駅","国際会館"
12:28,"各駅","国際会館"
12:35,"各駅","国際会館"
12:43,"各駅","国際会館"
12:50,"各駅","国際会館"
12:58,"各駅","国際会館"
13:05,"各駅","国際会館"
13:13,"各駅","国際会館"
13:20,"各駅","国際会館"
13:28,"各駅","国際会館"
13:35,"各駅","国際会館"
13:43,"各駅","国際会館"
13:50,"各駅","国際会館"
13:58,"各駅","国際会館"
14:05,"各駅","国際会館"
14:13,"各駅","国際会館"
14:20,"各駅","国際会館"
14:28,"各駅","国際会館"
14:35,"各駅","国際会館"
14:43,"各駅","国際会館"
14:50,"各駅","国際会館"
14:58,"各駅","国際会館"
15:05,"各駅","国際会館"
15:12,"各駅","国際会館"
15:18,"各駅","国際会館"
15:24,"各駅","国際会館"
15:30,"各駅","国際会館"
15:36,"各駅","国際会館"
15:42,"各駅","国際会館"
15:48,"各駅","国際会館"
15:53,"各駅","国際会館"
15:58,"各駅","国際会館"
16:03,"各駅","国際会館"
16:08,"各駅","国際会館"
16:13,"各駅","国際会館"
16:18,"各駅","国際会館"
16:23,"各駅","国際会館"
16:28,"各駅","国際会館"
16:33,"各駅","国際会館"
16:38,"各駅","国際会館"
16:43,"各駅","国際会館"
16:48,"各駅","国際会館"
16:53,"各駅","国際会館"
16:58,"各駅","国際会館"
17:03,"各駅","国際会館"
17:08,"各駅","国際会館"
17:13,"各駅","国際会館"
17:18,"各駅","国際会館"
17:23,"各駅","国際会館"
17:28,"各駅","国際会館"
17:33,"各駅","国際会館"
17:38,"各駅","国際会館"
17:43,"各駅","国際会館"
17:48,"各駅","国際会館"
17:53,"各駅","国際会館"
17:58,"各駅","国際会館"
18:03,"各駅","国際会館"
18:08,"各駅","国際会館"
18:13,"各駅","国際会館"
18:18,"各駅","国際会館"
18:23,"各駅","国際会館"
18:28,"各駅","国際会館"
18:33,"各駅","国際会館"
18:38,"各駅","国際会館"
18:44,"各駅","国際会館"
18:50,"各駅","国際会館"
18:56,"各駅","国際会館"
19:02,"各駅","国際会館"
19:09,"各駅","国際会館"
19:15,"各駅","国際会館"
19:23,"各駅","国際会館"
19:30,"各駅","国際会館"
19:38,"各駅","国際会館"
19:45,"各駅","国際会館"
19:53,"各駅","国際会館"
20:00,"各駅","国際会館"
20:08,"各駅","国際会館"
20:15,"各駅","国際会館"
20:23,"各駅","国際会館"
20:30,"各駅","国際会館"
20:38,"各駅","国際会館"
20:46,"各駅","国際会館"
20:56,"各駅","国際会館"
21:06,"各駅","国際会館"
21:16,"各駅","国際会館"
21:26,"各駅","国際会館"
21:36,"各駅","国際会館"
21:46,"各駅","国際会館"
21:56,"各駅","国際会館"
22:06,"各駅","国際会館"
22:16,"各駅","国際会館"
22:26,"各駅","国際会館"
22:36,"各駅","国際会館"
22:49,"各駅","国際会館"
23:02,"各駅","国際会館"
23:15,"各駅","国際会館"
23:29,"各駅","国際会館"
23:47,"各駅","国際会館"
24:17,"各駅","国際会館"
